Date,Close,High,Low,Open,Volume,BTC-INR
2022-09-12,1775219.5,1781132.5,1720620.625,1734124.25,3984608438604,BTC-INR
2022-09-13,1615673.75,1795188.25,1597056.75,1775301.375,4066993383643,BTC-INR
2022-09-14,1608236.625,1629189.25,1573553.25,1606746.125,3009114158391,BTC-INR
2022-09-15,1573129.0,1616612.875,1567400.25,1608332.0,2905639315961,BTC-INR
2022-09-16,1575671.25,1584373.0,1545799.75,1573352.25,2400521702522,BTC-INR
2022-09-17,1603960.5,1606746.125,1576025.875,1576025.875,1988851551879,BTC-INR
2022-09-18,1547535.625,1603933.25,1544983.375,1603933.25,2490685567516,BTC-INR
2022-09-19,1557818.625,1565354.0,1465145.0,1547461.125,3202418681754,BTC-INR
2022-09-20,1506779.375,1562469.375,1500822.625,1557935.25,2934575294566,BTC-INR
2022-09-21,1484736.0,1573319.25,1464156.25,1506818.75,3711463435078,BTC-INR
2022-09-22,1573709.875,1577222.875,1474187.375,1483715.375,3334565842781,BTC-INR
2022-09-23,1567903.125,1578438.75,1510150.75,1573616.5,3160246052810,BTC-INR
2022-09-24,1538543.125,1568923.625,1532446.75,1567850.625,2124535604051,BTC-INR
2022-09-25,1527765.25,1554607.125,1519094.875,1538486.25,1898115004225,BTC-INR
2022-09-26,1568877.625,1571886.375,1527707.625,1527911.75,3603248323734,BTC-INR
2022-09-27,1561806.625,1658158.875,1546538.375,1568809.75,4786742175714,BTC-INR
2022-09-28,1581897.5,1602271.25,1518309.5,1561322.25,4321540077933,BTC-INR
2022-09-29,1594828.875,1600532.25,1547138.75,1581983.75,3343798720956,BTC-INR
2022-09-30,1586380.25,1635349.25,1568620.875,1594860.0,3590068893240,BTC-INR
2022-10-01,1576608.5,1589593.875,1569994.75,1586324.375,1528233104109,BTC-INR
2022-10-02,1552505.125,1581361.0,1546514.375,1576588.375,1692872865528,BTC-INR
2022-10-03,1599230.5,1601668.375,1550965.875,1552501.875,2484363577399,BTC-INR
2022-10-04,1656929.125,1659544.875,1593535.875,1599230.875,2923889294823,BTC-INR
2022-10-05,1646111.375,1657491.75,1617411.25,1656852.25,2712704227149,BTC-INR
2022-10-06,1643451.375,1663101.375,1638892.625,1646137.75,2858694722966,BTC-INR
2022-10-07,1618960.0,1644972.375,1602097.25,1643625.625,2420740647805,BTC-INR
2022-10-08,1608169.5,1623502.5,1598466.25,1618916.875,1361422998814,BTC-INR
2022-10-09,1610797.0,1618603.0,1602594.625,1608245.0,1394673323217,BTC-INR
